date,Type,AWND,PSUN,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WESD,WESF,WSF5
2018-01-01,H,11.8242857143,nan,0,0,4.1489361702,3,11.5384615385,-3.5769230769,nan,0.75,0,33.0142857143
2018-01-02,H,6.71,nan,0,0,4.3829787234,3.5,14.1111111111,-7.1111111111,nan,0.6,0,21.6857142857
2018-01-03,H,4.7628571429,nan,0,0,4.1020408163,14,22.5,1.1538461538,nan,0.6166666667,0,17.7714285714
2018-01-04,H,17.3514285714,nan,0.0817894737,1.2111111111,4.9622641509,20,28.88,10.04,nan,0.6333333333,0.0730769231,50.0142857143
2018-01-05,H,19.6528571429,nan,0.9561797753,11.4543209877,14.6769230769,15,26.6923076923,8.6538461538,nan,1.9533333333,1.1051282051,44.3
2018-01-06,H,17.1928571429,nan,0,0,14,4.5,13.6538461538,1.4230769231,nan,1.7375,0,41.4428571429
2018-01-07,H,10.1328571429,nan,0,0,13.0638297872,3,13.28,-7,nan,1.5833333333,0,29.1428571429
2018-01-08,H,10.5457142857,nan,0.0001123596,0.0043478261,12.7755102041,22.5,27.44,2.08,nan,2.15,0,26.2428571429
2018-01-09,H,10.0342857143,nan,0.0026373626,0.0348484848,11.86,33,37.3846153846,24.3461538462,nan,1.8,0,30.7571428571
2018-01-10,H,5.2728571429,nan,0,0,10.9215686275,31,39.6153846154,14.2307692308,nan,1.9166666667,0,18.2714285714
2018-01-11,H,8.4057142857,nan,0,0,10.1153846154,nan,43.8076923077,21.0769230769,nan,1.6125,0,23.3
2018-01-12,H,11.4829396325,nan,0.0525371829,0,6.3597258676,48.38,55.2269230769,35.9530769231,nan,1.5662729659,0,32.5101407779
2018-01-13,H,15.4987728807,nan,1.4948776564,0,0.6798909752,44.78,61.3318181818,33.2845454545,nan,0.0866141732,0,40.264853257
2018-01-14,H,9.1714387974,nan,0.0096841343,0,0.4599577492,15.89,42.59,11.9225,nan,0,0,22.8487064117
2018-01-15,H,8.9157889355,nan,0.0016105941,0.0596340899,0.609834485,12.56,23.8928,10.1408,nan,0.1132646881,0.000656168,21.1550260763
2018-01-16,H,3.2275795071,nan,0.0032370954,0.0504602418,0.4039370079,22.01,26.09,13.97,nan,0,0.0024371954,13.4535739851
2018-01-17,H,4.3140914204,nan,0.1189851269,1.5742782152,1.811023622,29.93,33.7784,22.9352,nan,0.0859580052,0.1139192278,12.8464055629
2018-01-18,H,7.0303712036,nan,0.1685323973,1.4643482065,3.0022860046,25.07,32.5165217391,16.1365217391,nan,0.3135545557,0.1675853018,22.1083870198
2018-01-19,H,5.4006033337,nan,0,0.0016635245,2.7597653235,23.72,31.76,15.3125,nan,0.2762467192,0,15.1152980877
2018-01-20,H,9.0436138664,nan,0,0,2.3405110076,35.42,39.992,22.8056,nan,0.2854330709,0,27.5782288578
2018-01-21,H,3.1317108089,nan,0,0,1.5940303974,37.58,47.9507692308,27.6246153846,nan,0.2260967379,0,14.7637795276
2018-01-22,H,4.5058288169,nan,0.0197765977,0.0036453777,1.0872843022,33,44.3912,28.6232,nan,0.2577225924,0,19.5572144391
2018-01-23,H,5.5284282646,nan,0.197297781,0.0043744532,0.6974128234,33.53,40.0446153846,29.9161538462,nan,0,0.0125492126,22.4652316188
