date,precip,snow_depth,ave_temp,max_temp,min_temp,sunshine,peak_wind,prev_peak_wind,prev_sunshine,prev_ave_temp,prev_precip,prev_temp_diff
2015-01-01,0,0,22.5,30.625,12.3125,412.7,27.375,38.7,2888.9,36.1428571429,0.5802463401,-13.6428571429
2015-01-02,0,0,30.5,35.96875,20.9375,412.7,32.6875,28.125,2888.9,32.8571428571,0.0960672356,-2.3571428571
2015-01-03,0.0867123288,0.2820512821,24,36.6666666667,18.3,412.7,18.3,32.6875,2888.9,31.0714285714,0.0426801388,-7.0714285714
2015-01-04,0.9889189189,1.4821428571,33.5,41.2258064516,24.5161290323,412.7,24.2625,32.6875,2888.9,28.9285714286,0.1293924676,4.5714285714
2015-01-05,0.124084507,0.9069767442,35.5,47.5,24.28125,412.7,45.275,32.6875,2888.9,27.5,1.098166459,8
2015-01-06,0.0019178082,0.9545454545,14,28.71875,10.09375,412.7,22.7625,45.275,2888.9,27.3571428571,1.1997157547,-13.3571428571
2015-01-07,0.0075675676,0.7735849057,13.5,21.8125,5.09375,412.7,38.95,45.275,2888.9,25.8571428571,1.2016335629,-12.3571428571
2015-01-08,0.0004054054,0.8775510204,4.5,21.1875,-4.4375,412.7,30.4,45.275,2888.9,24.7857142857,1.2092011305,-20.2857142857
2015-01-09,0.0236111111,0.9772727273,20.5,25.9677419355,3.7419354839,412.7,30.9125,45.275,2888.9,22.2142857143,1.2096065359,-1.7142857143
2015-01-10,0.0620588235,1.679245283,18.5,26.21875,6,412.7,23.875,45.275,2888.9,20.7857142857,1.233217647,-2.2857142857
2015-01-11,0,1.4468085106,14,26.34375,5.0967741935,412.7,17.75,45.275,2888.9,20,1.2085641417,-6
2015-01-12,0.0313235294,1.4,29.5,34.625,17.53125,412.7,24.625,45.275,2888.9,17.2142857143,0.2196452228,12.2857142857
2015-01-13,0.1085714286,1.2142857143,23,35.28125,14.71875,412.7,28.875,38.95,2888.9,16.3571428571,0.1268842452,6.6428571429
2015-01-14,0,1.1538461538,10.5,23.28125,6.75,412.7,13.6,38.95,2888.9,17.6428571429,0.2335378656,-7.1428571429
2015-01-15,0.0115277778,1.08,24.5,26.28125,14.875,412.7,15.6375,30.9125,2888.9,17.2142857143,0.225970298,7.2857142857
2015-01-16,0.0268493151,1.1458333333,25,32.5161290323,15.1290322581,412.7,39.8375,30.9125,2888.9,20.0714285714,0.2370926704,4.9285714286
2015-01-17,0,1.1276595745,13,30.90625,5.4375,412.7,27.6625,39.8375,2888.9,20.7142857143,0.2403308744,-7.7142857143
2015-01-18,0.0492537313,1.1463414634,27.5,36.7096774194,11.2580645161,412.7,34.65,39.8375,2888.9,19.9285714286,0.1782720509,7.5714285714
2015-01-19,0.4244285714,0.7619047619,40,47.25,26.875,412.7,29.575,39.8375,2888.9,21.8571428571,0.2275257822,18.1428571429
2015-01-20,0,0.619047619,31.5,40.34375,26.4516129032,412.7,27.15,39.8375,2888.9,23.3571428571,0.6206308242,8.1428571429
2015-01-21,0,0.575,24.5,35.25,16.4375,412.7,19.8625,39.8375,2888.9,24.5714285714,0.5120593956,-0.0714285714
2015-01-22,0.0008450704,0.4761904762,28,34.84375,20.34375,412.7,15,39.8375,2888.9,26.5714285714,0.5120593956,1.4285714286
2015-01-23,0,0.5365853659,28.5,36.7419354839,18.0967741935,412.7,20.35,39.8375,2888.9,27.0714285714,0.5013766882,1.4285714286
2015-01-24,0.2169014085,2.375,28.5,34.7741935484,22.3548387097,412.7,20.3375,34.65,2888.9,27.5714285714,0.4745273731,0.9285714286
2015-01-25,0.4055555556,5.2807017544,31,34.8387096774,21.4516129032,412.7,30.7875,34.65,2888.9,29.7857142857,0.6914287816,1.2142857143
2015-01-26,0.0223188406,4.6346153846,16,31.84375,7.71875,412.7,35.15,30.7875,2888.9,30.2857142857,1.0477306059,-14.2857142857
